Date of publication,Title of vacancy,URL,Company,About vacancy
5 апреля,"Разработчик автоматических тестов GUI (Python, Squish)",https://saransk.hh.ru/vacancy/36066772?query=python, NetworkOptix,"Писать тесты на Python, используя Squish IDE под Windows и под Linux. Что вам надо уметь: - Программировать на любом языке. - Знать Python хотя бы на базовом уровне. - Читать документацию на английском языке. "
4 апреля,Разработчик Python Backend,https://saransk.hh.ru/vacancy/36407277?query=python, Web Interactive World,"Сбор данных, разработка архитектуры их хранения, представление их удобном для анализа виде. Построение архитектуры решения, написание ключевых блоков кода проекта.  Отличное знание Python 3.6 (ООП). Опыт работы с веб-фреймворками Django, Celery. Владение многопоточным multiprocessing и асинхронными подходами asyncio..."
6 апреля,Senior Python-разработчик,https://saransk.hh.ru/vacancy/36519550?query=python, Kokoc Group, Опыт разработки на Python/Django от 2-х лет. Опыт работы с PostgreSQL/Redis. Опыт разработки Single Page Applications. 
6 апреля,Разработчик Python (desktop приложения),https://saransk.hh.ru/vacancy/34044022?query=python, Новые Облачные Технологии,"Поддержка и развитие ядра почтового клиента, внесение изменений и исправлений, доработка. Разработка и развитие модулей ci/cd, сборка ядра клиента... Уверенное владение Linux. Знание Python/JS/Bash/Powershell. Опыт разработки системных утилит. Знание английского на уровне чтения RFC. "
4 апреля,Middle Python разработчик,https://saransk.hh.ru/vacancy/36067882?query=python,ООО Центробит,"Закончить переезд с Python 2.7 и Django 1.6 на Python 3.7 и Django 2.2.  Опыт Python разработки от 3х лет. Знание фреймворка Django – обязательно, версии 1.6.11, 2.2. Знание фреймворка django..."
6 апреля,Разработчик Python (middle / senior),https://saransk.hh.ru/vacancy/36360609?query=python,ООО Диджитал Пайн,Выверенный годами баланс между дисциплиной и свободой. Необходимые навыки: Уверенно владеть Python (2 и 3). Иметь опыт работы с Django и Flask в production. Хорошо знать MySQL...
6 апреля,Web-разработчик Full stack,https://saransk.hh.ru/vacancy/36132667?query=python,АО АСТ,"Разработка Web-сервисов и приложений. Проектная работа. Поддержка существующих решений. Разработка Backend/Frontend. Уверенное знание и опыт работы с Python (3.5+ и Django), JavaScript (jQuery) и HTML/CSS. Приветствуется опыт работы..."
5 апреля,Data scientist/Портфельный аналитик,https://saransk.hh.ru/vacancy/36552682?query=python,ООО Поток.Диджитал,Построение скоринговых моделей для кредитования клиентов. Анализ эффективности новых источников данных и их внедрение в существующую скоринговую модель.  Образование высшее математическое. Уверенное знание SQL. Знание Python. Умение формулировать и проверять статистические гипотезы на данных. Понимание основ математической статистики...
4 апреля,Python-разработчик,https://saransk.hh.ru/vacancy/36245671?query=python, ASD Technologies,"Разработка бекендной части системы класса EFSS (Enterprise File Sync and Share): управление файлами в облаке, алгоритмы синхронизации, удаленный доступ.  Знание английского языка (письменный - обязательно, разговорный - желательно). Плюсом будет: Опыт работы с любыми Python фреймворками (Bottle, Django, Flask, Pyramid и..."
4 апреля,"Back-end Developer (Python, Django)",https://saransk.hh.ru/vacancy/35493930?query=python,ООО Верме,"Основной сервис планирования: клиент - самописный MVC-подобный движок, отдельные компоненты на vue.js, графика на canvas, сервер - Django, Python, PostgreSQL.  Что бы ты умел работать в команде, был ответственным и проактивным. Имел опыт разработки от 2 лет и желание развиваться..."
5 апреля,NLP engineer / Data scientist NLP,https://saransk.hh.ru/vacancy/36271196?query=python,ООО АлгоМост,"Кластеризация и классификация документов, извлечение сущностей из текста. Автоматическое построение шаблонов текстовых описаний. Выделение полезной информации из электронных медицинских записей... Знание языка Python и различных библиотек для машинного обучения (Scikit-learn, Pandas, Lightgbm, XGBoost, VowpalWabbit). Знание библиотек, связанных с анализом..."
3 апреля,Программист Python,https://saransk.hh.ru/vacancy/35569509?query=python, zClick.pro,"Разработка нового функционала на Django (создание кода с нуля). Рефакторинг текущей кодовой базы. Поиск ошибок, их устранение. Развертка репозитория на... Умение разбираться в чужом коде. Опыт работы с Python3, Django, PostgreSQL от 2 лет. Опыт работы с Django Rest..."
4 апреля,Разработчик Python,https://saransk.hh.ru/vacancy/35013498?query=python, ДомКлик,"...Python. Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Разработка бэкэнда для мобильных и веб-приложений на Python.  Опыт работы в области создания программного обеспечения в качестве разработчика от 2 лет. Опыт работы хотя бы с одним из..."
6 апреля,Data Scientist (Computer Vision),https://saransk.hh.ru/vacancy/36415870?query=python, Аванта,"Определять требования, курировать сбор и разметку датасетов. Писать и обучать сети с нуля. Внедрять модели в цифровые продукты.  ...реализации проектов в области computer vision от разработки до имплементации. Знанием python, tensorflow и/или pytorch, opencv, git, bash, docker."
4 апреля,Junior QA Engineer,https://saransk.hh.ru/vacancy/36154775?query=python,ООО Джуси Лабс,"Помощь при подключении клиентов к нашему сервису. Помощь клиентам по различным операционным, продуктовым и техническим вопросам. Парсинг и базовый анализ... Знание Python, SQL. Представление о работе Интернета и клиент-серверных web-приложений в деталях. Хорошие коммуникативные навыки. Английский язык на..."
6 апреля,Junior / Middle iOS Developer,https://saransk.hh.ru/vacancy/36307775?query=python,ООО Claire&Clarté,"Разработка iOS-приложений для многомиллионной аудитории с релизом на весь мир. Поддержка и обновление разработанного приложения. Участие в разработке Backend... Работа с системами контроля версий Git. Знание дополнительных языков программирования, быстрая обучаемость (Python/JavaScript). Владение шаблонами проектирования ПО. "
4 апреля,Python Back-end разработчик,https://saransk.hh.ru/vacancy/36092700?query=python, AERODISK,Разработка back-end с использованием Python/Flask/Django. Написание Unit тестов. Перенос логики с PHP на Python. Уверенные знания и навыки использования Python. Опыт разработки интерфейсов с применением технологии Ajax. Базовые Знание Linux. Опыт разработки Web-интерфейсов...
5 апреля,Программист (Python\Django\HTML\CSS\JS),https://saransk.hh.ru/vacancy/36480050?query=python,ООО Портал Каргокс,"...верстка, не было конфликтов в работе других модулей и т.д. Сайт самописный, работает на Django Framework и Python 3. Обязательные требования - Знание языков: Python 3, PostgreSQL, js, HTML, CSS (SCSS, SASS), Системы управления контентом (CMS): Самописные проекты Фреймворки: Django..."
3 апреля,Python middle developer,https://saransk.hh.ru/vacancy/36449432?query=python, BestDoctor, 
6 апреля,Разработчик Python,https://saransk.hh.ru/vacancy/35350974?query=python, ИнПлат,"Реализация бэкенд-сервисов на языке Python. Полная ответственность за финальный продукт, в том числе за разработку, настройку инфраструктуры, тестирование, вывод... Опыт разработки на Python 3 не менее 2-х лет. Хорошее знание SQL. Умение писать асинхронный код (asyncio). "
6 апреля,Python разработчик,https://saransk.hh.ru/vacancy/36318057?query=python,АО Семейный доктор,"Каждая клиника поддерживает приоритеты компании – высокий уровень медицинского обслуживания, соблюдение международных стандартов оказания услуг, чуткое отношение к пациентам и забота... Опыт коммерческой разработки от 3х лет. Уверенные знания Python 3.х + asyncio. Навыки работы с системами контроля версий..."
6 апреля,Разработчик на PYTHON,https://saransk.hh.ru/vacancy/35768680?query=python,ООО Бизнес Успех," Знание Python обязательно (от 2 лет). - Linux системы (опыт работы). - Желательно опыт работы с Amazon Services (EC2, S3..."
6 апреля,Программист Python,https://saransk.hh.ru/vacancy/36013732?query=python, Сбербанк для экспертов,"разработка сценариев/скриптов/диалогов для виртуальных ассистентов и чат-ботов. - формирование технических требований к функциональности виртуальных ассистентов и чат-ботов. -  знание языка программирования Python не ниже Junior. - техническая грамотность, внимательность к деталям. - умение читать техническую документацию и спецификации. - ""технический"" английский. - "
6 апреля,Python разработчик,https://saransk.hh.ru/vacancy/35620095?query=python, RU-CERT,Разработкой серверной части веб-приложений (REST API). Автоматизацией процессов обработки данных. Интеграцией модулей анализа вредоносной активности в распределенные системы.  Опыт работы в Linux/Unix. Знание git. Опыт в разработке асинхронных python-приложений (asyncio). Опыт работы с веб-серверами (nginx...
5 апреля,Программист Python,https://saransk.hh.ru/vacancy/36550975?query=python, Star-staff,"Вакансия Python разработчика в компанию, которая разрабатывает уникальную геоинформационную систему для работы с картами для физ. и юр. лиц.  Опыт разработки на Python с использованием фреймворков (в компании Django) и библиотек (json, xlwt, xlrd, djangorest framework, желательно pandas, NumPy..."
6 апреля,QA Automation Engineer (Python),https://saransk.hh.ru/vacancy/35419959?query=python, NetworkOptix,"Продукт — система видеонаблюдения NX Witness — кроссплатформенный коробочный продукт, работающий распределенно в сетях. Тесты — Python-проект для работы с виртуальными машинами... Понимание HTTP, навыки работы с HTTP API из Python и командной строки (wget, curl, httpie, jq). Знания Jenkins (Jenkins job..."
6 апреля,Senior Python Developer / Ведущий Python-разработчик,https://saransk.hh.ru/vacancy/36444270?query=python, ASD Technologies,"Работа со стеком технологий: Python 3.6, Pyramid, PostgreSQL, SQLAlchemy, Celery, Rabbitmq, Redis, Buildout, Rest API, немного JS (тех админка... Опыт удаленной работы. Опыт работы с нашим стеком (см выше), любыми Python фреймворками (Bottle, Django, Flask, Pyramid и т.п..."
6 апреля,Программист Python (Middle),https://saransk.hh.ru/vacancy/36279752?query=python,ООО Лендсбэй," Обязательные навыки: Опыт работы на соответствующей позиции от 2 лет. Уверенное знание Python 3.х, PostgreSQL, SQL, опыт работы с..."
6 апреля,Системный программист Python/Rust,https://saransk.hh.ru/vacancy/36311764?query=python, Group-IB,Разрабатывать новые модули для существующих проприетарных СЗИ. Разрабатывать ПО для решения внутренних задач аналитики и разработки. Интегрировать наши продукты с... Уверенное знание Python и Rust (опыт коммерческой разработки от 1 года на каждом языке). Опыт системного программирования от 1 года. 
5 апреля,Python разработчик,https://saransk.hh.ru/vacancy/36110182?query=python,АО СБК,Разработка ПО на вашем любимом языке python. Участие в разработке архитектурных решений для компонентов системы. Работа по методологии scrum (2... Знаете Django/Flask или подобный фреймворк. Работаете с БД PostgreSql. Пишете тесты. Имеете опыт создания REST API. Понимаете суть принципов...
